race_id,rank,frame_number,horse_number,horse_id,age,burden_weight,rider_id,popular,tamer_id,owner_id,is_senba,is_mesu,is_osu,race_round,weather,ground_status,where_racecourse,total_horse_number,is_left_right_straight
201805010109,3,1,2,2013104754,5,57.0,5386,4.0,1142,224007,0,0,1,9,天候 : 晴,ダート : 不良,東京,16,左
201805010109,4,8,16,2012103540,6,57.0,1095,9.0,390,224007,1,0,0,9,天候 : 晴,ダート : 不良,東京,16,左
201805010109,5,7,14,2014101658,4,56.0,641,5.0,1134,812008,0,0,1,9,天候 : 晴,ダート : 不良,東京,16,左
201805010109,6,7,13,2012105689,6,57.0,1122,12.0,1075,877800,0,0,1,9,天候 : 晴,ダート : 不良,東京,16,左
201805010109,7,2,4,2011105477,7,57.0,1075,6.0,1145,149002,0,0,1,9,天候 : 晴,ダート : 不良,東京,16,左
201805010109,8,5,9,2012101567,6,57.0,663,16.0,1013,3060,0,0,1,9,天候 : 晴,ダート : 不良,東京,16,左
201805010109,9,6,11,2014103294,4,54.0,5339,1.0,386,845008,0,1,0,9,天候 : 晴,ダート : 不良,東京,16,左
201805010109,10,4,8,2014100484,4,56.0,1096,3.0,1088,980033,0,0,1,9,天候 : 晴,ダート : 不良,東京,16,左
201805010109,11,2,3,2011100377,7,57.0,1009,14.0,1108,15008,0,0,1,9,天候 : 晴,ダート : 不良,東京,16,左
201805010109,12,3,5,2014105136,4,56.0,1169,8.0,1093,674004,0,0,1,9,天候 : 晴,ダート : 不良,東京,16,左
201805010109,13,3,6,2011103952,7,57.0,1115,13.0,1085,226800,0,0,1,9,天候 : 晴,ダート : 不良,東京,16,左
201805010109,14,1,1,2011102525,7,57.0,1092,15.0,1062,128008,0,0,1,9,天候 : 晴,ダート : 不良,東京,16,左
201805010109,15,4,7,2014104389,4,56.0,1014,10.0,438,486800,0,0,1,9,天候 : 晴,ダート : 不良,東京,16,左
201805010109,16,8,15,2012103338,6,55.0,1025,11.0,392,331002,0,1,0,9,天候 : 晴,ダート : 不良,東京,16,左
201805010201,1,6,11,2015103431,3,56.0,1043,4.0,1047,619002,0,0,1,1,天候 : 曇,ダート : 不良,東京,16,左
201805010201,2,4,7,2015105722,3,53.0,1169,2.0,405,832008,0,0,1,1,天候 : 曇,ダート : 不良,東京,16,左
201805010201,3,1,2,2015102018,3,56.0,1095,5.0,1134,441009,0,0,1,1,天候 : 曇,ダート : 不良,東京,16,左
