date,where_racecourse,weather,race_round,race_title,race_id,total_horse_number,frame_number,horse_number,odds,popular,rank,rider_id,burden_weight,race_course,ground_status,goal_time,goal_time_dif,half_way_rank,pace,last_time,horse_weight,runner_up_horse_id,prize,horse_id,target_race_id
2007/03/17,1阪神7,晴,11,若葉S(OP),200709010711,9,6,6,2.2,1,1,05203,56,芝2000,良,2:01.2,0.0,2-2-2-1,35.7-36.0,36.0,476(-4),2004100730,"1,925.9",2004102884,200706030811
2006/12/23,3阪神7,晴,11,ラジオNIKKEI杯(G3),200609030711,11,8,11,5.6,3,2,00666,55,芝2000,良,2:02.1,0.0,2-2-2-2,36.6-35.2,35.0,480(-4),2004102834,"1,312.6",2004102884,200706030811
2006/11/05,6京都2,晴,6,2歳新馬,200608060206,10,2,2,2.6,1,1,00666,55,芝2000,良,2:02.5,-0.9,1-1-1-1,37.8-34.3,34.3,484(0),2004104126,700.0,2004102884,200706030811
2010/08/29,3新潟6,晴,11,新潟記念(G3),201004030611,17,6,12,24.1,9,17,00711,58,芝2000,良,2:01.0,2.6,16-15,36.2-34.3,35.4,456(+4),2006102847, ,2004102987,200706030811
2010/08/01,1小倉6,晴,10,小倉記念(G3),201010010610,17,5,9, , ,除,00945,58,芝2000,良, , , ,34.3-35.2, ,454(+2),2003105368, ,2004102987,200706030811
2010/06/27,2福島4,雨,11,福島テレビOP(OP),201003020411,16,4,8,2.3,1,3,00422,58,芝1800,稍,1:48.3,0.6,5-5-2-2,34.3-36.2,36.5,452(-6),2004102878,585.5,2004102987,200706030811
2010/05/29,4京都3,晴,10,金鯱賞(G2),201008040310,14,8,13,17.8,8,5,00945,57,芝2000,良,2:00.3,0.8,8-8-7-7,37.0-34.2,34.2,458(-2),2005105410,640.0,2004102987,200706030811
2009/02/21,2京都7,晴,11,京都記念(G2),200908020711,12,5,6, , ,除,00945,58,芝2200,良, , , ,36.1-36.0, ,446(-14),2004103163, ,2004102987,200706030811
2009/01/05,1京都2,晴,11,スポニチ賞京都金杯(G3),200908010211,16,1,1,3.6,1,4,00945,58,芝1600,良,1:33.4,0.5,8-6,34.5-35.0,34.6,460(+10),2003100496,650.0,2004102987,200706030811
2008/06/29,3阪神4,小雨,10,宝塚記念(G1),200809030410,14,4,6,14.6,6,14,00945,58,芝2200,重,2:19.1,3.8,10-10-11-12,35.5-37.3,40.3,450(-2),2002102706, ,2004102987,200706030811
2008/05/31,2中京3,小雨,11,金鯱賞(G2),200807020311,17,7,13,3.4,1,6,00945,58,芝2000,稍,1:59.7,0.6,10-10-7-5,35.3-35.1,35.3,452(0),2002102706, ,2004102987,200706030811
2008/03/29,アラブ首,晴, ,ドバイデューティーF(G1),2008C7a00105,16, ,5, , ,9,00945,57,芝1777,良, , , , , ,計不,, ,2004102987,200706030811
2008/02/23,2京都7,曇,11,京都記念(G2),200808020711,16,5,10,3.3,1,1,00945,57,芝2200,良,2:13.6,-0.2,11-11-11-10,36.7-35.3,33.9,456(+4),2002103091,"6,513.4",2004102987,200706030811
2008/01/05,1京都1,晴,11,スポニチ賞京都金杯(G3),200808010111,16,8,16,2.8,1,2,00945,57,芝1600,良,1:33.6,0.0,12-11,35.3-34.6,33.6,452(-6),2002102706,"1,719.2",2004102987,200706030811
2007/12/08,5阪神3,晴,11,鳴尾記念(G3),200709050311,16,8,15,5.9,4,3,00945,56,芝1800,良,1:47.6,0.1,10-12,35.9-34.2,33.5,458(+16),2001103160,814.3,2004102987,200706030811
2007/05/27,3東京4,晴,10,東京優駿(G1),200705030410,18,7,14,12.7,4,3,05203,57,芝2400,良,2:25.3,0.8,5-6-7-9,35.8-34.4,33.7,442(-2),2004104258,"4,373.0",2004102987,200706030811
2007/04/15,3中山8,晴,11,皐月賞(G1),200706030811,18,7,15,2.7,1,4,00666,57,芝2000,良,2:00.1,0.2,16-15-13-12,35.5-35.9,33.9,444(-2),2004102884,"1,500.0",2004102987,200706030811
2007/03/04,2中山4,晴,11,報知杯弥生賞(G2),200706020411,14,3,4,1.7,1,1,00666,56,芝2000,良,2:00.5,0.0,6-6-6-5,34.5-35.2,34.8,446(-2),2004103171,"5,503.6",2004102987,200706030811
2007/01/08,1京都3,曇,11,日刊スポシンザン記念(G3),200708010311,10,7,7,4.4,3,1,05203,56,芝1600,良,1:35.1,-0.2,5-5,35.6-34.9,33.3,448(-2),2004103198,"4,041.3",2004102987,200706030811
2006/12/16,4中京5,曇,8,報知杯中京2歳S(OP),200607040508,8,3,3,2.5,2,2,00666,55,芝1800,良,1:47.9,0.1,4-5-6-3,36.6-33.8,33.5,450(-10),2004103198,646.2,2004102987,200706030811
2006/11/04,6京都1,晴,5,2歳新馬,200608060105,10,6,7,2.2,1,1,00666,55,芝1600,良,1:37.2,-0.1,2-2,38.0-34.0,33.8,460(0),2004102982,700.0,2004102987,200706030811
2011/06/26,4阪神4,晴,11,宝塚記念(G1),201109040411,16,3,6,232.9,15,16,01115,58,芝2200,良,2:14.4,4.3,3-3-4-5,33.6-35.2,39.0,504(-22),2005105410, ,2004103163,200706030811
2010/03/21,1阪神8,晴,11,阪神大賞典(G2),201009010811,14,8,14,7.3,6,4,05203,58,芝3000,良,3:07.5,0.2,3-2-2-3,37.2-37.4,37.3,526(+28),2002107238,980.0,2004103163,200706030811
2009/11/29,5東京8,曇,10,ジャパンC(G1),200905050810,18,1,1,43.9,10,16,05203,57,芝2400,良,2:25.5,3.1,1-2-2-3,35.2-35.1,38.0,498(-2),2004104258, ,2004103163,200706030811
2009/11/01,4東京8,晴,11,天皇賞(秋)(G1),200905040811,18,3,6,47.5,11,18,00700,58,芝2000,良,1:59.3,2.1,15-17-16,35.6-33.7,34.5,500(-2),2001103435, ,2004103163,200706030811
2009/05/03,3京都4,曇,10,天皇賞(春)(G1),200908030410,18,8,17,3.5,1,9,00700,58,芝3200,良,3:15.3,0.9,6-6-3-2,36.4-35.1,35.8,502(-6),2003100738, ,2004103163,200706030811
2009/03/22,1阪神8,雨,11,阪神大賞典(G2),200909010811,12,6,7,3.7,2,1,00700,58,芝3000,重,3:13.2,0.0,6-7-6-2,37.4-40.6,38.3,508(0),2005102454,"6,592.4",2004103163,200706030811
2009/02/21,2京都7,晴,11,京都記念(G2),200908020711,12,6,9,8.9,3,1,00700,58,芝2200,良,2:14.6,0.0,4-4-3-2,36.1-36.0,35.6,508(+10),2003104910,"6,496.6",2004103163,200706030811
2008/12/28,5中山8,晴,10,有馬記念(G1),200806050810,14,7,12,29.5,9,14,00700,57,芝2500,良,2:34.3,2.8,4-4-2-4,30.0-36.4,39.1,498(0),2004103198, ,2004103163,200706030811
2008/11/30,5東京8,晴,10,ジャパンC(G1),200805050810,17,7,15,12.9,6,8,05339,57,芝2400,良,2:26.1,0.6,10-9-8-8,36.6-34.4,34.4,498(+4),2004103328, ,2004103163,200706030811
2008/11/02,4東京8,晴,11,天皇賞(秋)(G1),200805040811,17,1,1,21.2,6,8,01093,58,芝2000,良,1:57.7,0.5,5-5-5,35.2-35.2,35.0,494(0),2004104258, ,2004103163,200706030811
2008/06/29,3阪神4,小雨,10,宝塚記念(G1),200809030410,14,7,11,8.7,4,5,00700,58,芝2200,重,2:15.7,0.4,3-5-5-2,35.5-37.3,37.5,494(-6),2002102706,"1,320.0",2004103163,200706030811
2008/05/04,3京都4,晴,11,天皇賞(春)(G1),200808030411,14,8,13,3.6,1,3,00700,58,芝3200,良,3:15.5,0.4,3-4-2-2,36.8-35.3,35.5,500(-4),2003102883,"3,345.0",2004103163,200706030811
2008/04/06,2阪神4,晴,11,産経大阪杯(G2),200809020411,11,6,6,12.4,4,3,00700,59,芝2000,良,1:58.9,0.2,3-2-2-2,35.5-34.8,34.9,504(+16),2004103198,"1,611.8",2004103163,200706030811
2007/10/21,4京都7,晴,11,菊花賞(G1),200708040711,18,5,10,8.4,4,1,00700,57,芝3000,良,3:05.1,0.0,5-5-5-2,36.3-36.2,35.8,488(+4),2004102859,"15,255.8",2004103163,200706030811
2007/09/23,4阪神6,晴,11,神戸新聞杯(G2),200709040611,15,7,13,18.2,5,2,00700,56,芝2400,良,2:24.8,0.1,4-4-3-2,35.5-35.4,35.4,484(-10),2004102753,"2,234.0",2004103163,200706030811
2007/06/24,3阪神4,小雨,11,宝塚記念(G1),200709030411,18,7,15,55.5,11,15,01085,53,芝2200,稍,2:17.3,4.9,3-3-3-16,33.5-36.9,41.4,494(+6),2003102991, ,2004103163,200706030811
2007/05/27,3東京4,晴,10,東京優駿(G1),200705030410,18,8,16,84.5,14,2,01014,57,芝2400,良,2:25.0,0.5,1-1-1-1,35.8-34.4,34.9,488(-6),2004104258,"7,146.0",2004103163,200706030811
2007/05/06,2東京6,雨,11,NHKマイルC(G1),200705020611,18,1,1,6.8,3,11,01026,57,芝1600,稍,1:35.4,1.1,4-6,34.2-35.8,36.5,494(+8),2004100719, ,2004103163,200706030811
2007/04/15,3中山8,晴,11,皐月賞(G1),200706030811,18,6,12,16.0,6,7,01026,57,芝2000,良,2:00.4,0.5,4-4-3-3,35.5-35.9,35.6,486(-2),2004102884, ,2004103163,200706030811
2007/02/11,2京都6,晴,11,きさらぎ賞(G3),200708020611,8,7,7,9.1,3,1,01026,56,芝1800,良,1:48.8,-0.3,1-1,36.4-35.0,35.0,488(0),2004104892,"4,235.7",2004103163,200706030811
2006/12/23,3阪神7,晴,11,ラジオNIKKEI杯(G3),200609030711,11,4,4,8.0,4,5,00700,55,芝2000,良,2:02.5,0.4,7-7-4-3,36.6-35.2,35.1,488(-10),2004102834,320.0,2004103163,200706030811
2006/11/04,5東京1,晴,9,百日草特別(500万下),200605050109,8,8,8,2.4,1,1,00660,55,芝1800,良,1:47.5,-0.1,2-2-2,36.0-34.5,34.5,498(-2),2004105897,"1,018.2",2004103163,200706030811
2006/10/15,4東京4,晴,5,2歳新馬,200605040405,12,5,5,4.4,3,1,00700,55,芝1600,良,1:38.5,-0.3,4-4,37.2-34.5,34.2,500(0),2004104782,700.0,2004103163,200706030811
2008/12/27,5中山7,晴,12,グレイトフルS(1600万下),200806050712,10,3,3,3.6,2,2,00733,57,芝1800,良,1:49.6,0.3,3-4-5-3,38.0-35.6,35.6,470(+4),2004102272,738.0,2004103171,200706030811
2008/08/17,3新潟2,晴,11,天の川S(1600万下),200804030211,11,2,2,2.0,1,10,00733,57,芝2000,稍,1:59.5,1.4,6-6,34.8-36.0,34.4,466(+2),2003105723, ,2004103171,200706030811
2008/07/05,2福島5,曇,11,阿武隈S(1600万下),200803020511,16,8,16,3.1,1,2,00733,57,芝2000,良,1:58.1,0.0,9-10-10-7,33.6-35.7,34.6,464(-2),2002100534,740.0,2004103171,200706030811
2008/04/26,2東京1,雨,11,メトロポリタンS(OP),200805020111,15,5,8,4.5,3,10,00733,57,芝2400,良,2:25.8,2.3,7-7-7-7,35.7-35.6,36.4,466(0),2004102859, ,2004103171,200706030811
2008/03/29,3中山1,晴,11,日経賞(G2),200806030111,13,8,13,8.8,4,8,00733,56,芝2500,良,2:34.6,1.9,7-8-9-8,31.7-35.6,35.7,466(+14),2003104570, ,2004103171,200706030811
2007/05/27,3東京4,晴,12,目黒記念(G2),200705030412,18,6,11,7.7,4,2,00733,51,芝2500,良,2:31.4,0.0,7-8-13-12,30.1-35.4,34.3,452(-4),2001103452,"2,339.2",2004103171,200706030811
2007/04/15,3中山8,晴,11,皐月賞(G1),200706030811,18,8,18,10.2,4,9,00733,57,芝2000,良,2:00.5,0.6,10-11-11-11,35.5-35.9,34.5,456(-14),2004102884, ,2004103171,200706030811
2007/03/04,2中山4,晴,11,報知杯弥生賞(G2),200706020411,14,5,8,17.1,6,2,00733,56,芝2000,良,2:00.5,0.0,10-10-11-10,34.5-35.2,34.4,470(-8),2004102987,"2,229.6",2004103171,200706030811
2007/02/11,1東京6,晴,6,3歳新馬,200705010606,16,3,5,2.8,1,1,00733,56,芝1600,良,1:35.6,-0.3,7-5,36.0-34.0,33.4,478(0),2004102885,700.0,2004103171,200706030811
2012/08/07,金沢,晴,7,C12,201246080707,12,5,6,2.7,1,8,a01bb,56,ダ1400,良,1:33.7,2.5,8-8-8-7, ,40.5,448(-6),2008101511, ,2004104892,200706030811
2012/07/03,金沢,曇,10,河北門C,201246070310,12,6,8,3.0,2,3,a01bb,56,ダ1500,稍,1:37.6,0.1,11-8-6-6, ,39.1,454(+2),2008101141,6.3,2004104892,200706030811
2012/06/19,金沢,雨,7,金沢城石川門特別,201246061907,11,2,2,7.3,3,4,a003c,56,ダ1300,不,1:23.5,1.6,10-11-9-5, ,36.8,452(-6),2007100139,2.3,2004104892,200706030811
