race_id,race_round,race_title,weather,ground_status,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3,is_left_right_straight,distance,hour
202005040304,4,2歳新馬,天候 : 雨,ダート : 稍重,2020年10月17日,東京,16,1,1,2,3,4,8,280,150,640,200,710,4140,1620,490,3210,6640,6960,38740,左,1400,11
202005040306,6,3歳以上1勝クラス,天候 : 雨,ダート : 重,2020年10月17日,東京,16,3,6,8,15,1,2,740,240,190,620,1050,2010,630,3060,1800,3630,15370,85060,左,1400,13
202005040307,7,3歳以上1勝クラス,天候 : 雨,ダート : 重,2020年10月17日,東京,16,4,7,3,5,1,2,1440,280,130,180,810,1560,660,1420,370,4530,2840,22510,左,1600,13
202005040309,9,プラタナス賞 ,天候 : 雨,ダート : 重,2020年10月17日,東京,10,4,4,5,5,8,10,410,150,140,910,620,600,280,3110,2440,1250,8200,31060,左,1600,14
202005040312,12,3歳以上2勝クラス,天候 : 雨,ダート : 重,2020年10月17日,東京,16,3,5,5,10,7,13,310,160,200,800,480,960,500,2560,3590,1580,15170,50080,左,1600,16
202005040403,3,2歳未勝利,天候 : 晴,ダート : 重,2020年10月18日,東京,16,5,9,3,6,2,4,440,160,160,660,880,930,420,1670,1960,2010,6430,23130,左,1600,10
202005040406,6,3歳以上1勝クラス,天候 : 晴,ダート : 重,2020年10月18日,東京,10,3,3,2,2,7,8,170,110,140,160,370,400,180,250,430,510,880,2160,左,1300,12
202005040408,8,3歳以上2勝クラス,天候 : 晴,ダート : 重,2020年10月18日,東京,16,1,2,5,9,1,1,1520,500,1230,400,7660,36950,9570,2370,5730,62940,89150,563440,左,1400,13
202005040410,10,テレビ静岡賞 ,天候 : 曇,ダート : 重,2020年10月18日,東京,16,4,7,3,6,5,9,5310,1410,290,180,1300,25970,6800,2880,800,66020,22980,253880,左,1400,14
202005040501,1,2歳未勝利,天候 : 晴,ダート : 稍重,2020年10月24日,東京,13,5,6,2,2,5,7,510,130,150,100,490,2830,550,160,260,5530,750,10630,左,1400,10
202005040504,4,2歳新馬,天候 : 晴,ダート : 稍重,2020年10月24日,東京,16,6,12,2,3,1,1,1750,400,280,270,1140,5490,1940,1660,910,12560,9150,68470,左,1600,11
202005040506,6,3歳以上1勝クラス,天候 : 晴,ダート : 稍重,2020年10月24日,東京,15,3,5,5,9,8,14,2440,680,180,250,1340,6070,1950,2240,570,15360,10230,84100,左,1400,13
202005040507,7,3歳以上1勝クラス,天候 : 晴,ダート : 稍重,2020年10月24日,東京,10,1,1,8,10,4,4,310,150,210,600,1040,1100,390,1030,2510,1690,8700,27260,左,2100,13
202005040510,10,赤富士ステークス ,天候 : 晴,ダート : 稍重,2020年10月24日,東京,16,1,2,4,8,8,15,570,220,370,560,2050,3340,1170,1880,2110,5580,14300,77250,左,2100,15
202005040512,12,3歳以上2勝クラス,天候 : 晴,ダート : 稍重,2020年10月24日,東京,16,7,13,2,4,8,15,890,290,120,1660,900,930,460,12270,2690,2660,20900,117400,左,1600,16
202005040601,1,2歳未勝利,天候 : 晴,ダート : 良,2020年10月25日,東京,13,6,8,4,4,3,3,370,190,500,510,2260,3350,1120,1830,4340,4670,22500,104270,左,1600,9
202005040603,3,2歳新馬,天候 : 晴,ダート : 良,2020年10月25日,東京,16,8,15,2,3,7,13,2050,440,230,190,2860,6230,1840,1320,950,14110,10860,105790,左,1300,10
202005040606,6,3歳以上1勝クラス,天候 : 晴,ダート : 良,2020年10月25日,東京,13,6,8,1,1,6,9,160,110,210,1910,780,710,390,3190,11680,1000,28490,60410,左,1600,12
202005040607,7,3歳以上1勝クラス,天候 : 晴,ダート : 良,2020年10月25日,東京,12,7,10,6,7,7,9,550,250,230,160,680,2920,1120,730,570,5110,4090,24180,左,1400,13
202005040611,11,ブラジルカップ(L),天候 : 晴,ダート : 良,2020年10月25日,東京,11,1,1,4,4,7,9,600,220,270,220,2540,2260,680,560,820,4340,4070,22330,左,2100,15
202005040612,12,3歳以上2勝クラス,天候 : 晴,ダート : 良,2020年10月25日,東京,16,4,7,5,10,7,14,1360,330,770,160,2850,23890,5830,980,2310,39810,22150,207000,左,1300,16
202005040701,1,2歳未勝利,天候 : 晴,ダート : 良,2020年10月31日,東京,12,6,8,6,7,7,10,1030,170,290,110,7460,6090,1180,270,420,12910,1860,28810,左,1600,10
202005040704,4,2歳新馬,天候 : 晴,ダート : 良,2020年10月31日,東京,16,5,10,3,5,6,12,460,170,140,320,580,680,330,1110,870,1650,2970,13410,左,1400,11
202005040706,6,2歳新馬,天候 : 晴,ダート : 良,2020年10月31日,東京,16,2,3,4,7,6,12,300,130,250,200,1840,1800,660,490,1010,2260,3870,15600,左,1600,13
202005040707,7,3歳以上1勝クラス,天候 : 晴,ダート : 良,2020年10月31日,東京,11,8,10,7,9,6,6,1050,330,240,3640,1780,3340,830,10360,7300,6950,116270,512800,左,1600,13
202005040709,9,昇仙峡特別 ,天候 : 晴,ダート : 良,2020年10月31日,東京,16,2,4,6,12,3,5,170,120,720,350,810,5160,1690,710,6960,5450,14370,51420,左,2100,14
202005040712,12,3歳以上1勝クラス,天候 : 晴,ダート : 良,2020年10月31日,東京,11,3,3,7,8,8,11,490,210,300,150,2380,4080,1110,390,830,6560,3900,21880,左,1300,16
202005040801,1,2歳未勝利,天候 : 晴,ダート : 良,2020年11月1日,東京,13,8,13,4,4,5,6,320,150,530,140,1930,6010,1600,280,1410,7540,5000,33600,左,1600,10
202005040802,2,2歳未勝利,天候 : 晴,ダート : 良,2020年11月1日,東京,15,8,15,4,6,3,5,1970,540,230,390,5900,9210,2230,4210,1480,17230,37950,240030,左,1400,10
202005040806,6,3歳以上1勝クラス,天候 : 晴,ダート : 良,2020年11月1日,東京,15,8,14,2,2,8,15,500,160,200,140,610,1970,690,300,530,3610,1870,11680,左,1600,12
202005040810,10,秋嶺ステークス ,天候 : 曇,ダート : 良,2020年11月1日,東京,16,5,9,2,3,5,10,300,170,710,510,2950,5190,1720,1210,7860,6840,27730,100620,左,1300,15
202005040812,12,河口湖特別 ,天候 : 曇,ダート : 良,2020年11月1日,東京,16,5,10,6,12,5,9,700,270,1100,1130,6680,16350,5050,4720,15250,26330,163890,824970,左,1400,16
202005050101,1,2歳未勝利,天候 : 曇,ダート : 良,2020年11月7日,東京,14,6,10,3,3,8,14,150,110,160,570,400,480,220,1020,2800,580,5830,13190,左,1600,10
202005050102,2,2歳未勝利,天候 : 曇,ダート : 良,2020年11月7日,東京,16,4,7,1,1,6,12,200,110,570,160,2840,3580,1200,290,2710,4350,5370,26380,左,1400,10
202005050105,5,2歳新馬,天候 : 曇,ダート : 良,2020年11月7日,東京,16,6,12,5,10,8,16,480,160,210,220,1000,1570,600,640,930,3170,3870,21040,左,1600,12
202005050106,6,2歳新馬,天候 : 曇,ダート : 良,2020年11月7日,東京,14,6,10,7,12,4,6,170,110,170,180,530,430,240,310,690,630,1120,3610,左,1300,12
202005050108,8,3歳以上1勝クラス,天候 : 曇,ダート : 良,2020年11月7日,東京,16,3,6,8,15,5,10,1760,290,120,160,1220,2120,780,1190,280,5730,2870,31800,左,1400,13
202005050112,12,3歳以上2勝クラス,天候 : 曇,ダート : 良,2020年11月7日,東京,16,1,2,2,4,8,16,180,110,220,180,570,1170,510,290,890,1460,2390,7930,左,1600,16
202005050201,1,2歳未勝利,天候 : 曇,ダート : 良,2020年11月8日,東京,15,5,9,7,12,3,5,590,240,240,110,1990,1890,500,340,290,3190,1370,9040,左,1600,10
202005050203,3,2歳未勝利,天候 : 曇,ダート : 良,2020年11月8日,東京,16,1,2,8,15,4,8,900,330,1150,180,6370,19580,5550,620,3830,34690,24700,190510,左,1300,11
202005050207,7,3歳以上1勝クラス,天候 : 晴,ダート : 良,2020年11月8日,東京,13,6,9,4,5,8,12,240,140,190,440,420,760,360,790,1580,1220,3300,11230,左,2100,13
202005050208,8,3歳以上2勝クラス,天候 : 晴,ダート : 良,2020年11月8日,東京,16,4,8,8,15,8,16,380,190,350,200,820,3460,1150,660,1040,4840,5560,29450,左,1400,13
202005050210,10,錦秋ステークス ,天候 : 曇,ダート : 良,2020年11月8日,東京,16,1,2,4,7,2,3,1240,240,110,530,760,920,400,2940,1050,3040,7390,57640,左,1600,15
202005050301,1,2歳未勝利,天候 : 晴,ダート : 良,2020年11月14日,東京,12,5,5,5,6,7,10,1880,660,310,480,3760,3400,830,1780,840,6690,10630,73650,左,1600,9
202005050305,5,2歳未勝利,天候 : 晴,ダート : 良,2020年11月14日,東京,12,4,4,5,5,2,2,380,110,150,110,1070,920,300,160,250,1570,620,4200,左,1400,12
202005050307,7,3歳以上1勝クラス,天候 : 晴,ダート : 良,2020年11月14日,東京,16,7,14,8,15,4,8,420,130,110,170,220,420,200,460,320,1060,860,4760,左,1600,13
202005050309,9,オキザリス賞 ,天候 : 晴,ダート : 良,2020年11月14日,東京,16,3,5,3,6,6,11,410,180,270,700,1940,1970,680,1720,3900,3600,17210,72810,左,1400,14
